insecticide,surface,repnum,total mosquitoes,filename,num_mos,month,strain,hours,mort_pcent,miscount,species,resistance
control,mud,3,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,0,0,An. gambiae,susceptible
deltamethrin,mud,1,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,100,0,An. gambiae,susceptible
deltamethrin,mud,2,10,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,10,0,kisumu,0.5,90,0,An. gambiae,susceptible
deltamethrin,mud,3,9,Results for 0 months post spray/kisumu data 12th oct 16.xlsx,9,0,kisumu,0.5,100,0,An. gambiae,susceptible
control,wood,1,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,10,0,A. aegypti,susceptible
control,wood,2,11,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,11,0,orleans,0.5,0,0,A. aegypti,susceptible
control,wood,3,11,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,11,0,orleans,0.5,0,0,A. aegypti,susceptible
deltamethrin,wood,1,7,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,7,0,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,wood,2,9,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,9,0,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,wood,3,11,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,11,0,orleans,0.5,100,0,A. aegypti,susceptible
control,cement,1,9,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,9,0,orleans,0.5,0,0,A. aegypti,susceptible
control,cement,2,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,0,0,A. aegypti,susceptible
control,cement,3,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,0,0,A. aegypti,susceptible
deltamethrin,cement,1,11,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,11,0,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,cement,2,8,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,8,0,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,cement,3,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,100,0,A. aegypti,susceptible
control,mud,1,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,0,0,A. aegypti,susceptible
control,mud,2,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,0,0,A. aegypti,susceptible
control,mud,3,8,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,8,0,orleans,0.5,0,0,A. aegypti,susceptible
deltamethrin,mud,1,9,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,9,0,orleans,0.5,100,1,A. aegypti,susceptible
deltamethrin,mud,2,9,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,9,0,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,mud,3,10,Results for 0 months post spray/New orleans data 12th oct 16.xlsx,10,0,orleans,0.5,100,0,A. aegypti,susceptible
control,wood,1,10,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,10,0,vk7,0.5,0,0,An. gambiae,resistant
control,wood,2,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,0,0,An. gambiae,resistant
control,wood,3,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,0,0,An. gambiae,resistant
deltamethrin,wood,1,10,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,10,0,vk7,0.5,0,0,An. gambiae,resistant
deltamethrin,wood,2,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,88.88888889,0,An. gambiae,resistant
deltamethrin,wood,3,8,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,8,0,vk7,0.5,0,0,An. gambiae,resistant
control,cement,1,10,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,10,0,vk7,0.5,0,0,An. gambiae,resistant
control,cement,2,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,0,0,An. gambiae,resistant
control,cement,3,10,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,10,0,vk7,0.5,0,0,An. gambiae,resistant
deltamethrin,cement,1,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,11.11111111,0,An. gambiae,resistant
deltamethrin,cement,2,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,11.11111111,0,An. gambiae,resistant
deltamethrin,cement,3,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,0,0,An. gambiae,resistant
control,mud,1,10,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,10,0,vk7,0.5,0,0,An. gambiae,resistant
control,mud,2,8,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,8,0,vk7,0.5,0,0,An. gambiae,resistant
control,mud,3,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,0,0,An. gambiae,resistant
deltamethrin,mud,1,8,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,8,0,vk7,0.5,0,0,An. gambiae,resistant
deltamethrin,mud,2,9,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,9,0,vk7,0.5,11.11111111,0,An. gambiae,resistant
deltamethrin,mud,3,11,Results for 0 months post spray/VK7 data 12th oct 16.xlsx,11,0,vk7,0.5,9.090909091,0,An. gambiae,resistant
control,wood,1,12,Results for 1 months post spray/cayman 15th nov 16.xlsx,12,1,cayman,0.5,0,0,A. aegypti,resistant
control,wood,2,12,Results for 1 months post spray/cayman 15th nov 16.xlsx,12,1,cayman,0.5,0,0,A. aegypti,resistant
control,wood,3,10,Results for 1 months post spray/cayman 15th nov 16.xlsx,10,1,cayman,0.5,0,0,A. aegypti,resistant
deltamethrin,wood,1,9,Results for 1 months post spray/cayman 15th nov 16.xlsx,9,1,cayman,0.5,33.33333333,0,A. aegypti,resistant
deltamethrin,wood,2,11,Results for 1 months post spray/cayman 15th nov 16.xlsx,11,1,cayman,0.5,36.36363636,0,A. aegypti,resistant
deltamethrin,wood,3,11,Results for 1 months post spray/cayman 15th nov 16.xlsx,11,1,cayman,0.5,27.27272727,0,A. aegypti,resistant
control,cement,1,11,Results for 1 months post spray/cayman 15th nov 16.xlsx,11,1,cayman,0.5,0,0,A. aegypti,resistant
control,cement,2,11,Results for 1 months post spray/cayman 15th nov 16.xlsx,11,1,cayman,0.5,0,0,A. aegypti,resistant
control,cement,3,10,Results for 1 months post spray/cayman 15th nov 16.xlsx,10,1,cayman,0.5,0,0,A. aegypti,resistant
